,Market Capitalization,Book to Market Ratio
KEY,13495887000.0,0.9968963136694906
KEYS,27063706000.0,0.17196462302686852
KHC,45375848000.0,1.077004665565699
KIM,13675030000.0,0.7122355124632268
KLAC,84186767000.0,0.034681852077773696
KMB,42225725000.0,0.012954188471601139
KMI,37964911000.0,0.8458863501616005
KMX,10931291000.0,0.5134871077899216
KO,258756084000.0,0.0931572298798586
KR,33043098000.0,0.30305875072609717
KVUE,40042652000.0,0.49999185868108836
L,16308487000.0,0.9320913705851438
LDOS,15300293000.0,0.28450435557018416
LEN,41518838000.0,0.5838402076666982
LH,19205652000.0,0.5266939128127491
LHX,39200666000.0,0.4727215603938974
LIN,197093229000.0,0.20998691943902345
LKQ,12823296000.0,0.4252416851330578
LLY,597759623000.0,0.01781619164330877
LMT,109081690000.0,0.06265946191336053
LNT,12470600000.0,0.5032636761663433
LOW,123344495000.0,-0.1155625145654048
LRCX,109853901000.0,0.07473719117175456
LULU,60193108000.0,0.05231162012767309
LUV,18545138000.0,0.576269640053366
LVS,36930150000.0,0.09899770241929697
LW,15845189000.0,0.07403509039873238
LYB,30678157000.0,0.41120462353719617
LYV,20505833000.0,-0.0179250947766911
MA,411458601000.0,0.015498521563290884
MAA,16127289000.0,0.3850875990378792
MAR,69716369000.0,0.00814729751631213
MAS,15048302000.0,-0.016081548602626394
MCD,217638863000.0,-0.027584227914294886
MCHP,49408229000.0,0.13183229052796044
MCK,64843776000.0,-0.028638060806329354
MCO,71151297000.0,0.03779270531076897
MDLZ,101264572000.0,0.2658382835015587
MDT,114801983000.0,0.4500357803052932
MET,51443204000.0,0.5855972734513193
META,981121171000.0,0.12813198177332982
MGM,14688095000.0,0.32894184031353285
MHK,6238308000.0,1.285270621456972
MKC,17884766000.0,0.2627487550018826
MKTX,10096861000.0,0.10707218807904753
MLM,30923995000.0,0.23194933254904485
MMC,97845207000.0,0.2007456532847848
MMM,53103034000.0,0.27813853347814366
MNST,57817252000.0,0.12150423544861662
MO,71524205000.0,-0.05484856490190978
MOH,21452067000.0,0.13816850376236472
MOS,10458720000.0,1.152588462068016
MPC,58640404000.0,0.5983417167453349
MPWR,30759504000.0,0.054246713471062476
MRK,303676948000.0,0.15144712268380675
MRNA,38860464000.0,0.49209396985069453
MRO,13091975000.0,0.8705332847030337
MS,142367228000.0,0.711055496564139
MSCI,44591616000.0,-0.022603464292480453
MSFT,2964728578000.0,0.06955881274606178
MSI,54681477000.0,0.0021213764946400406
MTB,23588172000.0,1.073334126951423
MTCH,9934728000.0,-0.03622394090708875
MTD,26453801000.0,0.0009372188140373476
MU,98512929000.0,0.44785999612294547
NCLH,7406649000.0,0.009260733160164604
NDAQ,33683216000.0,0.1829991530499938
NDSN,14526185000.0,0.17885356685186096
NEE,117419360000.0,0.42102086061446764
NEM,40752046000.0,0.4793133576655268
NFLX,212585546000.0,0.09773665891659446
NI,10583435000.0,0.7157789507848822
NKE,154390725000.0,0.09070493062326121
NOC,70559056000.0,0.21700970602554548
NOW,153177113000.0,0.03285086068961229
NRG,11895543000.0,0.32180119898688103
NSC,54625411000.0,0.23309664434378352
NTAP,18258465000.0,0.0634774062332184
NTRS,16666488000.0,0.6755772421880363
NUE,41900802000.0,0.46705325592574576
NVDA,1478863094000.0,0.014944588237861592
NVR,22968492000.0,0.15268085514712937
NWS,14024848000.0,0.5749794935388961
NWSA,13985921000.0,0.5765798333910223
NXPI,56408855000.0,0.1372124997041688
O,40237085000.0,0.7168334634579021
ODFL,43831996000.0,0.08333905213898997
OKE,40801825000.0,0.15915954739769606
OMC,17572579000.0,0.1850667451829353
ON,32939784000.0,0.18843475112040808
ORCL,307411747000.0,0.003490432654156186
ORLY,61288485000.0,-0.017307525222723323
OTIS,36014793000.0,-0.12950234088531343
OXY,49785168000.0,0.6042964442743268
PANW,108519948000.0,0.01611132360660549
PARA,9188025000.0,2.507176460664833
PAYC,11381482000.0,0.10390623997823834
PAYX,44193341000.0,0.0790435826067099
PCAR,52858536000.0,0.24910073180990105
PCG,42985300000.0,0.5309489523162569
PEAK,10806362000.0,0.674443165979448
PEG,28976959000.0,0.9557938774734781
PEP,227924460000.0,0.07578388032596414
PFE,159285232000.0,0.6008843305699552
PFG,18941833000.0,0.5427035493344282
PG,362314924000.0,0.12990080419651717
PGR,99688292000.0,0.1594068840100099
PH,60835955000.0,0.16993698874292348
PHM,22335642000.0,0.3990974604625199
PKG,14921551000.0,0.24575863460842642
PLD,121958318000.0,0.4744497460189636
PM,142511243000.0,-0.04428422535055708
PNC,59668529000.0,0.767774918667762
PNR,11873428000.0,0.22808071940133887
PNW,7895902000.0,0.7660488947304563
PODD,14265080000.0,0.033396237525481806
POOL,15110416000.0,0.08174453966058909
PPG,33587352000.0,0.19974780983031945
PPL,19025187000.0,0.7313988556327988
PRU,37659521000.0,0.8377164436053236
PSA,51777249000.0,0.19635653103161196
PSX,57682633000.0,0.5912698194619515
PTC,21357726000.0,0.12535463747404568
PWR,28411933000.0,0.19001941895329685
PXD,51196146000.0,0.411320023972117
PYPL,70262383000.0,0.28854700245506903
QCOM,171436474000.0,0.12588336365340785
QRVO,10440337000.0,0.37381877615636355
RCL,32080622000.0,0.0894250741148348
REG,11702213000.0,0.5279376644400507
REGN,103270867000.0,0.21946169968728935
RF,17528279000.0,0.9100151817528692
RHI,8689744000.0,0.18050681354939802
RJF,23807537000.0,0.42788970568438056
RL,9018903000.0,0.26948953769654693
RMD,26008809000.0,0.15878862426956958
ROK,34863866000.0,0.10215734537300022
ROL,21404162000.0,0.05920329887243425
ROP,58742485000.0,0.27301875295197336
ROST,46756172000.0,0.0917222864181439
RSG,53431656000.0,0.18127830438195663
RTX,132571218000.0,0.5598047684830051
RVTY,13659921000.0,0.5404772106661525
SBAC,25222902000.0,-0.20918746780207922
SBUX,104542306000.0,-0.0764073446017156
SCHW,116499309000.0,0.3142336234801187
SHW,78187373000.0,0.03967520433254613
SJM,13666040000.0,0.5334976335500262
SLB,72034959000.0,0.24972596985860712
SNA,15242864000.0,0.2954497265080893
SNPS,83716039000.0,0.07387235557095577
SO,75067376000.0,0.46001341514854605
SPG,53500670000.0,0.07147370303960679
SPGI,141235782000.0,0.2814017767820339
SRE,44852204000.0,0.6045410834214524
STE,21417908000.0,0.2842094568713247
STLD,18678422000.0,0.4334308861851392
STT,22414813000.0,1.1238550149849567
STX,18462581000.0,-0.06494216599510112
STZ,46002999000.0,0.1898550135829188
SWK,14736255000.0,0.6590616136867882
SWKS,17561461000.0,0.3463663985587532
SYF,15501097000.0,0.8304573540827466
SYK,119023165000.0,0.13960307642634104
SYY,38135566000.0,0.05267057003952688
T,122908852000.0,0.5286437790501859
TAP,13494349000.0,0.9570821089627962
TDG,59308331000.0,-0.03335113240667656
TDY,20854694000.0,0.3918973829105332
TECH,11462712000.0,0.1715576558147845
TEL,41846391000.0,0.2785186421452689
TER,17006260000.0,0.1441406870176041
TFC,49361715000.0,1.226395800875233
TFX,11768381000.0,0.34176051914022837
TGT,65038946000.0,0.1726965255556263
TJX,108337979000.0,0.05874209634277929
TMO,213814411000.0,0.2056830491187051
TMUS,190102192000.0,0.36641344987752694
TPR,8631144000.0,0.2639047616399402
TRGP,18558294000.0,0.14363928063646367
TRMB,12557809000.0,0.3225244148879793
TROW,24724722000.0,0.39179004722479793
TRV,48145633000.0,0.44780800784154196
TSCO,24693238000.0,0.08271155042526217
TSLA,664839324000.0,0.06903622927093886
TSN,18955606000.0,0.9566035504219702
TT,57487725000.0,0.10620006270903919
TTWO,28078227000.0,0.3220466876345148
TXN,158475059000.0,0.09198292836729595
TXT,15539276000.0,0.4577433337306062
TYL,18567504000.0,0.14134312290978907
UAL,13281328000.0,0.5192251859151434
UBER,132834869000.0,0.0640193351641729
UDR,13319448000.0,0.3707469708954906
UHS,10496856000.0,0.5640338402279692
ULTA,23304663000.0,0.08409523021208246
UNH,474477265000.0,0.18198342970131562
UNP,148333494000.0,0.08199766399354147
UPS,135115473000.0,0.14643770665703107
URI,39182393000.0,0.18023401480353687
USB,65093239000.0,0.7870556264683649
V,557367558000.0,0.06949274216638206
VFC,6502124000.0,0.4476557198847638
VICI,31904905000.0,0.6986421993734192
VLO,43955884000.0,0.5360147005574953
VLTO,18660295000.0,0.17363069554902535
VMC,29604104000.0,0.2348390615030943
VRSK,35353633000.0,0.05000051904142355
VRSN,20957045000.0,-0.07454295202400911
VRTX,113408868000.0,0.12267735535460948
VTR,19185527000.0,0.5465748738619481
VTRS,14114119000.0,1.4929943555102518
VZ,166398296000.0,0.30774954570448243
WAB,23036266000.0,0.4404793728289125
WAT,18710147000.0,0.026963337059831758
WBA,19347405000.0,1.4724455295167491
WBD,25702527000.0,1.8934714084727933
WDC,18481852000.0,0.6342979047770754
WEC,25155942000.0,0.40548272849412675
WELL,49225540000.0,0.43461170766232327
WFC,176776004000.0,1.030756414202009
WHR,6119400000.0,0.38173677157891295
WM,74477126000.0,0.09216252517585063
WMB,41300173000.0,0.27808600220633456
WMT,438295036000.0,0.17498030710071744
WRB,19799413000.0,0.3418364473734651
WRK,10369335000.0,0.9721645602152886
WST,25682563000.0,0.10454174686537321
WTW,25917227000.0,0.3894320947221707
WY,24411232000.0,0.44033009067301476
WYNN,10398938000.0,-0.15774351188554062
XEL,32518517000.0,0.5127847619865321
XOM,391323779000.0,0.5174053069747137
XRAY,7684162000.0,0.4960853245936252
XYL,27333423000.0,0.12815811616422867
YUM,36737167000.0,-0.24160817844228435
ZBH,25249083000.0,0.4763341306296153
ZBRA,13152680000.0,0.20779035147209543
ZION,6416506000.0,0.7625645483694709
ZTS,86359343000.0,0.05098463984377463
