,Activo_1,Activo_2,Activo_3,Activo_4,Activo_5,Activo_6,Activo_7
2010-01-04,77.05623155980929,81.67703263238182,102.48705074918469,98.79639481586318,100.82461044242476,89.82512733099233,110.69121119042829
2010-01-05,78.38278692530702,80.41846953725815,102.58831301403697,98.86162743226649,100.74990108161506,89.69298403964746,111.31738724096935
2010-01-06,77.96726984408343,78.7315378729592,102.58126933357573,98.49483946216625,100.65571680066694,90.16471462021904,111.88319824447699
2010-01-07,75.3286109413085,80.12250391575313,102.43320604216399,98.21607551603147,99.92791118689222,89.65729000173567,111.47484484515255
2010-01-08,76.70063116499391,78.56057533356187,101.44745040881863,98.15700672467908,99.71148776365979,90.00915844084945,111.91550911994936
2010-01-11,76.95114789963418,79.30122417325101,102.4393962622183,98.0438001934511,99.90775453016498,90.28846537031065,112.13085083487138
2010-01-12,77.01349521336711,77.79327307534112,102.29450199610469,98.56795182238947,99.25778188543649,90.06887135705783,111.07590812636376
2010-01-13,78.60152639631134,77.70132666388042,103.76464507364813,98.52938567665736,100.35175827691606,90.249472353882,110.96961554084322
2010-01-14,78.65295987835547,76.17052015760667,102.71367567670181,98.1893581759502,99.5548251770196,89.91700005095316,111.22490119257925
2010-01-15,79.53661993654396,75.16567746672405,104.08568661508332,98.348875695347,100.19997930454872,89.49887347458161,111.16197372947886
2010-01-19,80.87615078780614,73.99046945947819,102.60807276380773,98.68837716729564,100.46188917402768,90.35686510094814,112.40866113428224
2010-01-20,81.8993821077321,73.01986207097809,103.11744454155313,99.10496771404945,100.28011153800416,89.75100059325297,111.7502078963712
2010-01-21,82.6817672413745,73.43165826863638,102.41196492722794,97.74526301170015,100.29018446165568,90.11300000291008,111.71116412984496
2010-01-22,84.28415859357884,72.87497286888556,103.57161932689526,97.70733150651196,100.00783582218682,90.3734292367213,111.75263659561749
2010-01-25,84.26398903517425,72.23165609303881,104.24899219742764,97.50398447045106,99.39696404163728,89.34166959750608,111.37274892217997
2010-01-26,84.44525324386393,72.33451610962199,103.91029818193788,97.698248273131,99.0910757141878,89.29334247088981,110.48200603200019
2010-01-27,84.4164936497959,73.25255233297479,103.1794534363598,98.44615706405489,99.07429218566422,89.7122279252612,111.40088457004688
2010-01-28,85.69393274504608,70.93282452633028,102.69834947357623,99.24101021161488,99.04856514880166,89.9503106155097,112.31349590159225
2010-01-29,85.70058437539227,70.50614721298777,102.4215748375799,98.59293342576343,98.87281756498524,89.66614016651648,111.35484491036823
2010-02-01,84.84217452684861,71.14811872314003,102.24779749598908,98.82002114296444,99.56280312418326,91.17497359937175,112.42958936014355
2010-02-02,84.27357505088581,70.14885458239748,101.48350730781547,98.79008544071323,99.8298867604761,90.61284097570625,111.65320394059296
2010-02-03,83.97280980216976,71.97239148282499,102.02147776195599,99.64523952170946,100.49494815529962,90.68362788468991,110.17701594430616
2010-02-04,84.8446016010076,70.79478644314084,102.04378113734653,98.99790827850778,100.26725618375691,89.52051026158156,109.64382694248184
2010-02-05,84.52803503403467,71.1416293158989,103.24775914614726,99.43163882461155,100.07360809969497,89.2914250089344,109.36832833650428
2010-02-08,85.109057768282,71.94314050842964,102.84505763170979,98.80046340365678,100.16296940858956,89.20822523905035,108.74273611544328
2010-02-09,82.54448871459932,73.06757343051869,102.16598172960794,98.4363489693722,99.69204313001815,88.55313158984468,108.40188501262742
